"plot","lat","long","pre_fire_NDVI","post_fire_NDVI"
"BH1",37.90983,-122.24689,0.281255323341548,0.169378904200086
"BC1",37.90984,-122.24685,0.281255323341548,0.169378904200086
"BH2",37.9098,-122.24682,0.281255323341548,0.169378904200086
"BC2",37.90981,-122.24684,0.281255323341548,0.169378904200086
"BH3",37.90978,-122.24686,0.281255323341548,0.169378904200086
"BC3",37.90978,-122.24687,0.281255323341548,0.169378904200086
"BH4",37.90971,-122.24684,0.259145458747119,0.162093860867818
"BC4",37.90974,-122.24682,0.259145458747119,0.162093860867818
"NB1",37.90984,-122.24669,0.270266547012388,0.184228864410627
"NB2",37.90983,-122.24668,0.270266547012388,0.184228864410627
"NB3",37.9098,-122.24668,0.270266547012388,0.184228864410627
"NB4",37.90978,-122.2467,0.270266547012388,0.184228864410627
